Capitulo,Palavras,Genero,Testamento,Livro,Livro_Abrev,Capitulo_Num
GN 1,719,Pentateuco,Antigo,Gênesis,gn,1
GN 2,544,Pentateuco,Antigo,Gênesis,gn,2
GN 3,599,Pentateuco,Antigo,Gênesis,gn,3
GN 4,556,Pentateuco,Antigo,Gênesis,gn,4
GN 5,344,Pentateuco,Antigo,Gênesis,gn,5
GN 6,481,Pentateuco,Antigo,Gênesis,gn,6
GN 7,513,Pentateuco,Antigo,Gênesis,gn,7
GN 8,494,Pentateuco,Antigo,Gênesis,gn,8
GN 9,554,Pentateuco,Antigo,Gênesis,gn,9
GN 10,433,Pentateuco,Antigo,Gênesis,gn,10
GN 11,481,Pentateuco,Antigo,Gênesis,gn,11
GN 12,438,Pentateuco,Antigo,Gênesis,gn,12
GN 13,392,Pentateuco,Antigo,Gênesis,gn,13
GN 14,553,Pentateuco,Antigo,Gênesis,gn,14
GN 15,399,Pentateuco,Antigo,Gênesis,gn,15
GN 16,355,Pentateuco,Antigo,Gênesis,gn,16
GN 17,569,Pentateuco,Antigo,Gênesis,gn,17
GN 18,722,Pentateuco,Antigo,Gênesis,gn,18
GN 19,927,Pentateuco,Antigo,Gênesis,gn,19
GN 20,429,Pentateuco,Antigo,Gênesis,gn,20
GN 21,631,Pentateuco,Antigo,Gênesis,gn,21
GN 22,505,Pentateuco,Antigo,Gênesis,gn,22
GN 23,425,Pentateuco,Antigo,Gênesis,gn,23
GN 24,1531,Pentateuco,Antigo,Gênesis,gn,24
GN 25,622,Pentateuco,Antigo,Gênesis,gn,25
GN 26,750,Pentateuco,Antigo,Gênesis,gn,26
GN 27,1079,Pentateuco,Antigo,Gênesis,gn,27
GN 28,530,Pentateuco,Antigo,Gênesis,gn,28
GN 29,734,Pentateuco,Antigo,Gênesis,gn,29
GN 30,933,Pentateuco,Antigo,Gênesis,gn,30
GN 31,1261,Pentateuco,Antigo,Gênesis,gn,31
GN 32,710,Pentateuco,Antigo,Gênesis,gn,32
GN 33,436,Pentateuco,Antigo,Gênesis,gn,33
GN 34,688,Pentateuco,Antigo,Gênesis,gn,34
GN 35,598,Pentateuco,Antigo,Gênesis,gn,35
GN 36,748,Pentateuco,Antigo,Gênesis,gn,36
GN 37,782,Pentateuco,Antigo,Gênesis,gn,37
GN 38,732,Pentateuco,Antigo,Gênesis,gn,38
GN 39,526,Pentateuco,Antigo,Gênesis,gn,39
GN 40,476,Pentateuco,Antigo,Gênesis,gn,40
GN 41,1192,Pentateuco,Antigo,Gênesis,gn,41
GN 42,902,Pentateuco,Antigo,Gênesis,gn,42
GN 43,844,Pentateuco,Antigo,Gênesis,gn,43
GN 44,799,Pentateuco,Antigo,Gênesis,gn,44
GN 45,660,Pentateuco,Antigo,Gênesis,gn,45
GN 46,657,Pentateuco,Antigo,Gênesis,gn,46
GN 47,818,Pentateuco,Antigo,Gênesis,gn,47
GN 48,606,Pentateuco,Antigo,Gênesis,gn,48
GN 49,685,Pentateuco,Antigo,Gênesis,gn,49
GN 50,615,Pentateuco,Antigo,Gênesis,gn,50
EX 1,392,Pentateuco,Antigo,Êxodo,ex,1
EX 2,554,Pentateuco,Antigo,Êxodo,ex,2
EX 3,645,Pentateuco,Antigo,Êxodo,ex,3
EX 4,733,Pentateuco,Antigo,Êxodo,ex,4
EX 5,511,Pentateuco,Antigo,Êxodo,ex,5
EX 6,612,Pentateuco,Antigo,Êxodo,ex,6
EX 7,613,Pentateuco,Antigo,Êxodo,ex,7
EX 8,846,Pentateuco,Antigo,Êxodo,ex,8
EX 9,852,Pentateuco,Antigo,Êxodo,ex,9
EX 10,790,Pentateuco,Antigo,Êxodo,ex,10
EX 11,258,Pentateuco,Antigo,Êxodo,ex,11
EX 12,1124,Pentateuco,Antigo,Êxodo,ex,12
EX 13,538,Pentateuco,Antigo,Êxodo,ex,13
EX 14,789,Pentateuco,Antigo,Êxodo,ex,14
EX 15,589,Pentateuco,Antigo,Êxodo,ex,15
EX 16,819,Pentateuco,Antigo,Êxodo,ex,16
EX 17,388,Pentateuco,Antigo,Êxodo,ex,17
EX 18,646,Pentateuco,Antigo,Êxodo,ex,18
EX 19,574,Pentateuco,Antigo,Êxodo,ex,19
EX 20,485,Pentateuco,Antigo,Êxodo,ex,20
EX 21,766,Pentateuco,Antigo,Êxodo,ex,21
EX 22,705,Pentateuco,Antigo,Êxodo,ex,22
EX 23,738,Pentateuco,Antigo,Êxodo,ex,23
EX 24,383,Pentateuco,Antigo,Êxodo,ex,24
EX 25,702,Pentateuco,Antigo,Êxodo,ex,25
EX 26,717,Pentateuco,Antigo,Êxodo,ex,26
EX 27,495,Pentateuco,Antigo,Êxodo,ex,27
EX 28,911,Pentateuco,Antigo,Êxodo,ex,28
EX 29,1006,Pentateuco,Antigo,Êxodo,ex,29
EX 30,759,Pentateuco,Antigo,Êxodo,ex,30
EX 31,363,Pentateuco,Antigo,Êxodo,ex,31
EX 32,866,Pentateuco,Antigo,Êxodo,ex,32
EX 33,569,Pentateuco,Antigo,Êxodo,ex,33
EX 34,853,Pentateuco,Antigo,Êxodo,ex,34
EX 35,695,Pentateuco,Antigo,Êxodo,ex,35
EX 36,755,Pentateuco,Antigo,Êxodo,ex,36
EX 37,580,Pentateuco,Antigo,Êxodo,ex,37
EX 38,753,Pentateuco,Antigo,Êxodo,ex,38
EX 39,898,Pentateuco,Antigo,Êxodo,ex,39
EX 40,641,Pentateuco,Antigo,Êxodo,ex,40
LV 1,389,Pentateuco,Antigo,Levítico,lv,1
LV 2,371,Pentateuco,Antigo,Levítico,lv,2
LV 3,403,Pentateuco,Antigo,Levítico,lv,3
LV 4,858,Pentateuco,Antigo,Levítico,lv,4
LV 5,528,Pentateuco,Antigo,Levítico,lv,5
LV 6,710,Pentateuco,Antigo,Levítico,lv,6
